>Name|>Nombre
The genotyping assay was developed and its performance characteristics determined by the testing laboratory. The sequence results were generated by the testing laboratory, and sequence interpretation performed via an automated service at the BC Centre for Excellence in HIV/AIDS.  The BC Centre cannot be held responsible for the quality, integrity and correctness of the sequence results, or for the correctness of the patient demographic data added to this report. For US clients, this report has not been cleared or approved by the U.S. Food and Drug Administration.   Interpretation is done by Stanford HIV Web Service Sierra for protease/RT sequences or the an adaptation of the geno2pheno co-receptor algorithm for V3 sequences.  Please see these websites for further information: http://hivdb.stanford.edu/pages/webservices/ or http://coreceptor.bioinf.mpi-inf.mpg.de/.|Los resultados de la secuencia fueron generados por el laboratorio de análisis. La interpretación  de la secuencia se realiza a través de un servicio automatizado del BC Centre for Excellence in HIV/ AIDS.  El BC Centre no se hace responsable de la calidad, integridad y exactitud de los resultados de la secuencia, o de la exactitud de los datos demográficos del paciente añadido a este informe.  A los clientes de EE.UU, se les advierte que este informe no  ha sido aprobado por la agencia  del gobierno de los Estados Unidos responsable de la regulación de alimentos y medicamentos (FDA).  La interpretación se lleva a cabo por Stanford VIH por medio del  servicio Web de Sierra para las secuencias de la proteasa /TR. Para las secuencias de V3 los datos de la secuencia se interpretan basados en  el algoritmo del co-receptor de geno2pheno Para obtener más información consulte estos sitios en la Net: http://hivdb.stanford.edu/pages/webservices/ o http://coreceptor.bioinf.mpi-inf.mpg.de/
>NRTI/NtRTI Drugs|><text style="font-size:10px;">Fármacos NRTI/NtRTI</text>
>PI Drugs|><text style="font-size:9px;">Inhibidores de proteasa</text>
>NNRTI Drugs|>Fármacos NNRTI
>Integrase Drugs|><text style="font-size:11px;">Inhibidores de la integrasa</text>
>GP41 Drugs|>Inhibidores de entrada (GP41)
>Relevant PI Mutations|>Mutaciones relevantes de los IP
>Relevant NRTI/NtRTI/NNRTI Mutations|>Mutaciones relevantes de los NRTI/NtRTI/NNRTI
>Relevant Integrase Mutations|>Mutaciones relevantes de la Integrasa
>Relevant GP41 Mutations|>Mutaciones relevantes de la GP41
>Co-Receptor Antagonists|>Antagonistas del Co-Receptor
>Generated by WebRecall at the BC Centre for Excellence|>Generado por WebRecall en el BC Centre for Excellence
The genotyping assay was developed and its performance characteristics determined by the testing laboratory. The sequence results were generated by the testing laboratory, and sequence interpretation performed via an automated service at the BC Centre for Excellence in HIV/AIDS.  The BC Centre cannot be held responsible for the quality, integrity and correctness of the sequence results, or for the correctness of the patient demographic data added to this report. For US clients, this report has not been cleared or approved by the U.S. Food and Drug Administration.  Interpretation is done by Stanford HIV Web Service Sierra, or using a database of linked genotype and phenotype data to provide estimates for the degree of phenotypic change for protease/RT sequences.  Alternatively, it uses an adaptation of the geno2pheno co-receptor algorithm for V3 sequences.  Please see these websites for further information: http://hivdb.stanford.edu/pages/webservices/ or http://coreceptor.bioinf.mpi-inf.mpg.de/.|El ensayo de genotipificación  y las características de rendimiento del mismo fueron  desarrollados  por el laboratorio de análisis. Los resultados de la secuencia fueron generados por este laboratorio y la interpretación se realizó a través de un servicio automatizado del BC Centre for Excellence in HIV/ AIDS. El BC Centre no se hace responsable de la calidad, integridad ni precisión de los resultados de las secuencias, o de la autenticidad de los datos demográficos del paciente agregados en este informe. A los clientes de Estados Unidos se les advierte que este informe no ha sido aprobado por la Administración de Alimentos y Medicamentos de EE.UU (U.S Food and Drug Administration, FDA).  La interpretación se lleva a cabo por medio de Sierra, el servicio Web de VIH de la Universidad de Stanford, o usando una base de datos de genotipo y fenotipo combinados, que provee el dato estimado del grado de cambio fenotípico para la secuencia de la proteasa/transcriptasa reversa. Alternativamente, para las secuencias de V3, se usa una adaptación del algoritmo del co-receptor de Geno2pheno. Para obtener  más información  por favor consulte estos sitios de internet: http://hivdb.stanford.edu/pages/webservices/ o http://coreceptor.bioinf.mpi-inf.mpg.de/
>Cut-off|><text style="font-size:8px;" dx="-4">Línea de corte</text>
>FC|><text style="font-size:8px;" dx="-4">Cambio</text>
>Reduced Response|><text style="font-size:11px;">Respuesta reducida</text>
>None|>Ninguna
